Week ,Pneu.SDR,ChronicResp.SDR,OtherResp.SDR,Cancer.SDR,Heart.SDR,OtherCardiac.SDR,Cerebovascular.SDR,Dementia.SDR,Diabetes.SDR,Allotherdoctor.SDR,Coroner.SDR,Femaleunder45comp.SDR,Female45to64comp.SDR,Female65to74comp.SDR,Female75to84comp.SDR,Femaleover85comp.SDR,Maleunder45comp.SDR,Male45to64comp.SDR,Male65to74comp.SDR,Male75to84comp.SDR,Maleover85comp.SDR
4-Jan-15,0.126,0.454,0.173,3.232,0.942,0.46,0.641,0.72,0.264,1.677,1.608,0.27819402,0.58710034,0.638048731,1.534975798,2.248753234,0.498933583,1.072952351,0.839526008,1.621575098,1.023125162
11-Jan-15,0.12,0.43,0.158,2.965,0.843,0.495,0.58,0.696,0.239,1.62,1.566,0.228801038,0.571544198,0.564800653,1.412199109,2.156122616,0.508016899,0.96361207,0.856323115,1.435615576,1.045418589
18-Jan-15,0.114,0.399,0.171,3.089,0.91,0.481,0.587,0.706,0.298,1.365,1.55,0.23326234,0.563823742,0.620588638,1.377109149,2.050711128,0.463249127,0.935260285,0.873120222,1.439335499,1.134600737
25-Jan-15,0.102,0.424,0.154,3.086,0.781,0.47,0.661,0.688,0.212,1.52,1.58,0.291577925,0.548267599,0.599685709,1.420952514,2.162508329,0.383121301,0.93932714,0.876446708,1.498854274,1.008261471
1-Feb-15,0.171,0.41,0.193,2.719,0.869,0.41,0.55,0.663,0.213,1.565,1.575,0.215417133,0.509319628,0.55784472,1.377109149,2.101815721,0.441189644,1.028449346,0.829447743,1.305454905,1.035510868
8-Feb-15,0.13,0.438,0.188,3.027,0.962,0.56,0.621,0.622,0.297,1.609,1.605,0.269271417,0.579379884,0.662429626,1.469198028,2.255138946,0.436647986,0.987896999,0.923478608,1.46165504,1.065238251
15-Feb-15,0.12,0.437,0.12,2.952,0.926,0.458,0.625,0.68,0.25,1.678,1.408,0.291577925,0.571544198,0.603163675,1.337642487,1.983632807,0.42756467,0.996030708,0.916759766,1.480254657,1.052852545
22-Feb-15,0.153,0.325,0.195,3.007,0.861,0.462,0.537,0.626,0.267,1.596,1.608,0.255568848,0.571544198,0.488109739,1.333240338,2.009185104,0.53461804,0.96361207,0.933556873,1.495134351,1.05533053
1-Mar-15,0.102,0.33,0.132,3.181,0.959,0.343,0.641,0.651,0.266,1.732,1.424,0.219878435,0.520957927,0.550853656,1.464821325,2.060289697,0.490174671,0.996030708,0.899962658,1.558354724,1.052852545
8-Mar-15,0.104,0.433,0.135,3.265,0.892,0.538,0.552,0.681,0.21,1.649,1.525,0.237723641,0.571544198,0.589216679,1.346395893,2.168894041,0.494391925,0.93932714,0.953713402,1.614153576,1.065238251
15-Mar-15,0.105,0.319,0.144,2.985,0.776,0.486,0.674,0.74,0.262,1.614,1.519,0.260348814,0.552070212,0.65895166,1.293773676,2.140148889,0.396421872,1.012181929,0.869760801,1.554634801,0.911645366
22-Mar-15,0.144,0.356,0.142,3.17,0.801,0.492,0.584,0.737,0.241,1.815,1.455,0.260348814,0.497681329,0.533428694,1.565689055,1.99001852,0.449948556,0.991963854,0.916759766,1.573234418,1.161854356
29-Mar-15,0.106,0.444,0.157,3.179,0.92,0.452,0.564,0.759,0.278,1.543,1.458,0.219878435,0.532711457,0.617110671,1.47357473,2.063482553,0.392204618,0.996030708,0.96375873,1.48397458,1.10735134
5-Apr-15,0.13,0.483,0.164,3.194,0.87,0.454,0.592,0.664,0.219,1.628,1.563,0.241866278,0.56186482,0.673495883,1.471488163,2.057399123,0.440216432,0.985805474,0.995212137,1.518736624,1.026612072
12-Apr-15,0.145,0.377,0.17,3.032,0.93,0.502,0.616,0.816,0.235,1.781,1.683,0.241866278,0.503788555,0.600950424,1.541337285,2.324512723,0.413615292,1.078645947,0.945281912,1.566784108,1.112573261
19-Apr-15,0.119,0.416,0.172,3.155,0.916,0.418,0.646,0.712,0.268,1.668,1.49,0.228482374,0.670412126,0.638927006,1.506400001,2.140073318,0.449299748,0.929218102,0.951934884,1.404188636,1.112573261
26-Apr-15,0.128,0.452,0.223,3.035,0.978,0.563,0.632,0.792,0.312,1.693,1.587,0.214779805,0.620056316,0.514598492,1.602458447,2.423085075,0.484659801,0.997889841,0.935302455,1.470707464,1.169060354
