Week,(Intercept),I(year - 2015),s16,s17,s18,s19,s20,s21,s22,s23,sint,cost,RespSeason,sint:as.factor(Respseason)1,as.factor(Respseason)1:cost,Flu_before_Mar_2020,Flu_after_Mar_2020,covid20_21,covid22.v1,covid22.v2
4-Jan-15,1,0.005475702,0,0,0,0,0,0,0,0,0.034398061,0.999408212,0,0,0,0.007,0,0,0,0
11-Jan-15,1,0.024640657,0,0,0,0,0,0,0,0,0.154204048,0.988039023,0,0,0,0,0,0,0,0
18-Jan-15,1,0.043805613,0,0,0,0,0,0,0,0,0.271776738,0.96236033,0,0,0,0,0,0,0,0
25-Jan-15,1,0.062970568,0,0,0,0,0,0,0,0,0.385413359,0.922744029,0,0,0,0.006,0,0,0,0
1-Feb-15,1,0.082135524,0,0,0,0,0,0,0,0,0.493468142,0.869763872,0,0,0,0.006,0,0,0,0
8-Feb-15,1,0.101300479,0,0,0,0,0,0,0,0,0.594376157,0.804187158,0,0,0,0.003,0,0,0,0
15-Feb-15,1,0.120465435,0,0,0,0,0,0,0,0,0.68667598,0.726963615,0,0,0,0,0,0,0,0
22-Feb-15,1,0.13963039,0,0,0,0,0,0,0,0,0.769030859,0.639211653,0,0,0,0.004,0,0,0,0
1-Mar-15,1,0.158795346,0,0,0,0,0,0,0,0,0.84024807,0.542202159,0,0,0,0.01,0,0,0,0
8-Mar-15,1,0.177960301,0,0,0,0,0,0,0,0,0.899296192,0.437340096,0,0,0,0,0,0,0,0
15-Mar-15,1,0.197125257,0,0,0,0,0,0,0,0,0.945320047,0.326144154,0,0,0,0.004,0,0,0,0
22-Mar-15,1,0.216290212,0,0,0,0,0,0,0,0,0.977653084,0.210224752,0,0,0,0,0,0,0,0
29-Mar-15,1,0.235455168,0,0,0,0,0,0,0,0,0.995827034,0.091260722,0,0,0,0,0,0,0,0
5-Apr-15,1,0.254620123,0,0,0,0,0,0,0,0,0.999578686,-0.029025013,0,0,0,0.004,0,0,0,0
12-Apr-15,1,0.273785079,0,0,0,0,0,0,0,0,0.988853706,-0.148890387,1,0.988853706,-0.148890387,0.011,0,0,0,0
19-Apr-15,1,0.292950034,0,0,0,0,0,0,0,0,0.963807423,-0.266599421,1,0.963807423,-0.266599421,0.004,0,0,0,0
26-Apr-15,1,0.31211499,0,0,0,0,0,0,0,0,0.924802574,-0.380447366,1,0.924802574,-0.380447366,0.019,0,0,0,0
3-May-15,1,0.331279945,0,0,0,0,0,0,0,0,0.872404057,-0.488785394,1,0.872404057,-0.488785394,0.007,0,0,0,0
10-May-15,1,0.350444901,0,0,0,0,0,0,0,0,0.807370744,-0.590044474,1,0.807370744,-0.590044474,0.017,0,0,0,0
17-May-15,1,0.369609856,0,0,0,0,0,0,0,0,0.730644497,-0.682758097,1,0.730644497,-0.682758097,0.009,0,0,0,0
24-May-15,1,0.388774812,0,0,0,0,0,0,0,0,0.64333652,-0.765583517,1,0.64333652,-0.765583517,0.014,0,0,0,0
31-May-15,1,0.407939767,0,0,0,0,0,0,0,0,0.546711273,-0.837321195,1,0.546711273,-0.837321195,0.006,0,0,0,0
7-Jun-15,1,0.427104723,0,0,0,0,0,0,0,0,0.442168152,-0.896932174,1,0.442168152,-0.896932174,0.006,0,0,0,0
14-Jun-15,1,0.446269678,0,0,0,0,0,0,0,0,0.331221228,-0.943553124,1,0.331221228,-0.943553124,0,0,0,0,0
21-Jun-15,1,0.465434634,0,0,0,0,0,0,0,0,0.215477315,-0.976508846,1,0.215477315,-0.976508846,0.003,0,0,0,0
28-Jun-15,1,0.484599589,0,0,0,0,0,0,0,0,0.096612702,-0.995322051,1,0.096612702,-0.995322051,0.011,0,0,0,0
5-Jul-15,1,0.503764545,0,0,0,0,0,0,0,0,-0.023651127,-0.999720273,1,-0.023651127,-0.999720273,0,0,0,0,0
12-Jul-15,1,0.5229295,0,0,0,0,0,0,0,0,-0.143572423,-0.989639813,1,-0.143572423,-0.989639813,0.01,0,0,0,0
19-Jul-15,1,0.542094456,0,0,0,0,0,0,0,0,-0.261414399,-0.965226664,1,-0.261414399,-0.965226664,0.026,0,0,0,0
26-Jul-15,1,0.561259411,0,0,0,0,0,0,0,0,-0.375470379,-0.926834394,1,-0.375470379,-0.926834394,0.018,0,0,0,0
2-Aug-15,1,0.580424367,0,0,0,0,0,0,0,0,-0.484088522,-0.87501903,1,-0.484088522,-0.87501903,0.036,0,0,0,0
9-Aug-15,1,0.599589322,0,0,0,0,0,0,0,0,-0.58569574,-0.810530999,1,-0.58569574,-0.810530999,0.033,0,0,0,0
16-Aug-15,1,0.618754278,0,0,0,0,0,0,0,0,-0.678820483,-0.734304264,1,-0.678820483,-0.734304264,0.033,0,0,0,0
23-Aug-15,1,0.637919233,0,0,0,0,0,0,0,0,-0.76211405,-0.647442796,1,-0.76211405,-0.647442796,0.093,0,0,0,0
30-Aug-15,1,0.657084189,0,0,0,0,0,0,0,0,-0.834370124,-0.551204587,1,-0.834370124,-0.551204587,0.095,0,0,0,0
6-Sep-15,1,0.676249144,0,0,0,0,0,0,0,0,-0.894542237,-0.44698343,1,-0.894542237,-0.44698343,0.099,0,0,0,0
13-Sep-15,1,0.6954141,0,0,0,0,0,0,0,0,-0.941758934,-0.33628873,1,-0.941758934,-0.33628873,0.062,0,0,0,0
20-Sep-15,1,0.714579055,0,0,0,0,0,0,0,0,-0.975336388,-0.220723651,1,-0.975336388,-0.220723651,0.055,0,0,0,0
27-Sep-15,1,0.733744011,0,0,0,0,0,0,0,0,-0.994788306,-0.10196189,1,-0.994788306,-0.10196189,0.033,0,0,0,0
4-Oct-15,1,0.752908966,0,0,0,0,0,0,0,0,-0.99983297,0.018276558,1,-0.99983297,0.018276558,0.035,0,0,0,0
11-Oct-15,1,0.772073922,0,0,0,0,0,0,0,0,-0.99039732,0.138250311,1,-0.99039732,0.138250311,0.041,0,0,0,0
18-Oct-15,1,0.791238877,0,0,0,0,0,0,0,0,-0.96661801,0.256221822,1,-0.96661801,0.256221822,0.025,0,0,0,0
25-Oct-15,1,0.810403833,0,0,0,0,0,0,0,0,-0.92883943,0.37048254,1,-0.92883943,0.37048254,0.014,0,0,0,0
1-Nov-15,1,0.829568789,0,0,0,0,0,0,0,0,-0.877608717,0.479377659,1,-0.877608717,0.479377659,0.007,0,0,0,0
8-Nov-15,1,0.848733744,0,0,0,0,0,0,0,0,-0.81366783,0.58133008,1,-0.81366783,0.58133008,0,0,0,0,0
15-Nov-15,1,0.8678987,0,0,0,0,0,0,0,0,-0.73794281,0.674863252,1,-0.73794281,0.674863252,0.007,0,0,0,0
22-Nov-15,1,0.887063655,0,0,0,0,0,0,0,0,-0.651530362,0.75862256,0,0,0,0.005,0,0,0,0
29-Nov-15,1,0.906228611,0,0,0,0,0,0,0,0,-0.555681972,0.83139494,0,0,0,0,0,0,0,0
